12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070024;Deutsche Bank Privat und Geschäftskunden F 704;63
12080000;Commerzbank vormals Dresdner Bank Filiale Berlin II;76
12090640;apoBank;A4
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
12096597;Sparda-Bank Berlin;A8
13000000;Bundesbank;9
13010111;SEB;13
13010111;SEB;13
13010111;SEB;13
13020780;UniCredit Bank - HypoVereinsbank (ehem. Hypo);99
13040000;Commerzbank;13
13040000;Commerzbank;13
13040000;Commerzbank;13
13050000;Ostseesparkasse Rostock;20
13050000;Ostseesparkasse Rostock;20
13050000;Ostseesparkasse Rostock;20
13050000;Ostseesparkasse Rostock;20
13050000;Ostseesparkasse Rostock;20
13051042;Kreissparkasse Rügen, Sitz Bergen;C0
13061008;Volksbank Wolgast;32
13061008;Volksbank Wolgast (Gf P2);32
13061028;Volksbank Raiffeisenbank ehem VB Greifswald;32
13061078;Volks- und Raiffeisenbank;32
13061078;Volks- und Raiffeisenbank;32
13061078;Volks- und Raiffeisenbank;32
13061078;Volks- und Raiffeisenbank;32
13061078;Volks- und Raiffeisenbank;32
13061078;Volks- und Raiffeisenbank;32
13061078;Volks- und Raiffeisenbank;32
13061078;Volks- und Raiffeisenbank;32
13061078;Volks- und Raiffeisenbank;32
13061078;Volks- und Raiffeisenbank;32
13061078;Volks- und Raiffeisenbank;32
13061078;Volks- und Raiffeisenbank;32
13061078;Volks- und Raiffeisenbank;32
13061078;Volks- und Raiffeisenbank (Gf P2);32
13061088;Raiffeisenbank Wismar -alt-;32
13061128;Raiffeisenbank;32
13061128;Raiffeisenbank (Gf P2);32
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070000;Deutsche Bank;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
